stfid,name,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
55119960600,Census Tract 9606,95.5,0,0.6,0.3,1.1,2.5,1.2,0.1,3.6,56161,0.4269,5.8
55119960200,Census Tract 9602,96.4,0,0.2,0.5,1,1.9,0.3,0,4.1,57258,0.399,2.9
55119960100,Census Tract 9601,93.6,0,0.6,0.1,1.6,4,2.2,0.6,6.9,53451,0.3837,4.9
55119960300,Census Tract 9603,97,0,0,0,2.1,0.9,0.1,0.2,5.9,51801,0.4402,5.5
55001950501,Census Tract 9505.01,95.6,0,0,0.6,0.3,3.5,0.4,0,1.7,39886,0.4674,4.4
55001950201,Census Tract 9502.01,95.3,0,0,0,2.9,1.7,1.4,0.8,2.1,52889,0.4088,1.4
55001950502,Census Tract 9505.02,78.4,10.7,0.1,2.3,2.1,6.4,2.3,0,2.4,44132,0.3776,4.6
55001950100,Census Tract 9501,94.2,0,0,0,2.3,3.5,0,0,3.2,68456,0.3826,1.5
55001950400,Census Tract 9504,87.8,1.4,2.8,0,2,6,1.4,0,5,40833,0.4108,9.8
55113100700,Census Tract 1007,80.6,0.9,0.4,8,8.1,2,0.6,0.7,5.8,36000,0.4185,3.8
55113100400,Census Tract 1004,90.4,0.8,0.2,5.6,1.1,1.9,0.1,1.2,1.7,70806,0.4122,2.1
55113100300,Census Tract 1003,85.7,0.1,0.8,6.8,4.4,2.2,0.6,2.9,4.4,56778,0.5076,4.8
55125940000,Census Tract 9400,42.8,0.3,1.9,52.4,1.2,1.4,0.6,0.3,3.1,41310,0.4834,6.8
55125950700,Census Tract 9507,93,0.5,0,0.5,0.6,5.5,0.7,0,4.8,48398,0.4496,3
55121100800,Census Tract 1008,98,0,0.9,0.2,0.7,0.1,0.3,0,4.5,63177,0.401,4.4
55121100100,Census Tract 1001,96.7,0.1,0.3,0.8,0.8,1.3,0.3,0.1,7.1,61591,0.3754,2.9
55121100700,Census Tract 1007,96.6,0,0.8,0.1,1.5,0.9,0.7,0,2.4,63635,0.387,2
55107960400,Census Tract 9604,95.8,0.6,0,0.2,2.3,1.2,0.4,0.4,5.6,51071,0.4015,3.6
55107960100,Census Tract 9601,94.5,0.2,0.2,0.4,2.7,2.1,0.5,0.4,3.4,49375,0.3935,3.5
55107960300,Census Tract 9603,93,0.3,0,0.5,5.1,1.1,0.2,0,5.5,48843,0.4277,2.4
55107960200,Census Tract 9602,95.9,0.1,0.2,0.4,1.6,1.9,0.6,0,4.6,56346,0.3947,2.8
55121100300,Census Tract 1003,80.9,1.8,0,0,0.1,17.2,6.4,0,4.1,51667,0.4092,2.7
55121100200,Census Tract 1002,93,0.4,0.7,0.7,0.8,4.3,1,0,3.5,62039,0.3836,5.8
55121100400,Census Tract 1004,90.1,1.4,0,0.7,0.7,7.1,1.2,0.2,6.3,58423,0.422,8.2
55121100600,Census Tract 1006,61.1,0.2,0,0,0,38.7,14.5,0.2,10.1,55587,0.4178,9.1
55121100500,Census Tract 1005,93,0.3,0.2,0,3,3.5,0.2,0.2,1.5,60600,0.3863,5.6
55101002600,Census Tract 26,98.5,0.2,0,0,0,1.3,0.5,0,7.1,74853,0.3721,4.1
55101002402,Census Tract 24.02,84.7,0.5,3.7,0,1,10,0.4,0.1,0.4,57955,0.4191,5.2
55123960500,Census Tract 9605,96.9,0.2,0.1,0.2,0.3,2.3,0.1,0.3,7.6,58550,0.4218,6.2
55123960400,Census Tract 9604,94.6,0.5,0.5,0.1,3.6,0.7,1.3,1.3,13.6,40804,0.4684,9.9
55123960100,Census Tract 9601,93,0,0.6,0,3.1,3.3,1,0.1,10.3,50313,0.4348,15.2
55123960300,Census Tract 9603,96.3,0.2,0.8,0,1.6,1.2,0.8,0,2.2,58932,0.395,1.9
55123960200,Census Tract 9602,95.1,0.6,0.3,0,1.3,2.6,1.1,0.3,11.1,44295,0.4475,15.7
55123960700,Census Tract 9607,96.8,0.2,0.1,0.3,1.5,1.1,0.3,0.2,2.5,64922,0.388,3.3
55021970401,Census Tract 9704.01,76.2,15.6,0.3,1.4,2.5,4,2.1,0,2.4,40306,0.4491,27.8
