TRACTCE,GEOID,NAMELSAD,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
11506,55025011506,Census Tract 115.06,68.9,10.4,6.6,2,8.6,3.5,3.5,2.9,4.1,61510,0.3752,8.2
2000,55025002000,Census Tract 20,84.4,4.3,2,0.1,5.9,3.4,3.2,10.2,16.3,75664,0.3811,7.7
2100,55025002100,Census Tract 21,72.3,5.3,1.9,0.9,11.2,8.4,3.1,9.7,13.6,51424,0.3781,9.3
2200,55025002200,Census Tract 22,62.4,19.4,4.3,0.5,8.5,4.8,3.3,12,4.5,51503,0.3917,6.6
204,55025000204,Census Tract 2.04,52.3,14.8,23.9,1,2.4,5.7,20.8,5.4,11.8,82717,0.4373,9.3
12201,55025012201,Census Tract 122.01,97.5,0.2,0,0.6,0.3,1.4,0,0.1,8.1,63241,0.3918,4.8
12202,55025012202,Census Tract 122.02,94.8,0.9,0,0.1,2.8,1.4,1.4,0.1,7.7,64870,0.3863,10.1
11301,55025011301,Census Tract 113.01,92.2,2.2,0.5,0,1.8,3.3,1,0,2.2,105375,0.429,7.4
12300,55025012300,Census Tract 123,95.5,1,0.2,0,0.9,2.4,2.8,0,4.9,78504,0.3742,2.1
13000,55025013000,Census Tract 130,93.8,0.2,0.1,0,2.4,3.5,0.9,0,2,90473,0.3556,0
11700,55025011700,Census Tract 117,86.5,0.2,1.6,0.2,6.4,5.1,0.3,0.6,4.2,105417,0.3546,0
11600,55025011600,Census Tract 116,87.3,5.3,3.1,0,2.7,1.6,1.3,1,3,83446,0.3471,8
2302,55025002302,Census Tract 23.02,72.9,17.2,3.2,0.4,4.1,2.2,0.1,3.8,2.1,71875,0.4915,0
12100,55025012100,Census Tract 121,91.7,0.4,0.5,0,1.1,6.3,1.2,0,1.3,86184,0.3296,0.5
205,55025000205,Census Tract 2.05,81.9,0.8,10.2,0,3.1,4,3.1,3,2.6,100000,0.4049,5.2
12900,55025012900,Census Tract 129,96.8,0,0.5,0.1,1.2,1.4,0.5,0,3.5,97854,0.3919,1.8
10600,55025010600,Census Tract 106,82.8,0.8,2.8,0,7.5,6,2.7,0.1,2.1,96016,0.443,1.9
201,55025000201,Census Tract 2.01,87.1,0,2.3,0.8,1.9,7.9,1.3,7,13.1,92460,0.4334,2.9
12002,55025012002,Census Tract 120.02,95,0.3,0.1,0.6,1.1,3,0.9,0,2.5,88984,0.4194,1.4
10702,55025010702,Census Tract 107.02,80.2,5.7,4.3,0.5,4.2,5.2,7.2,0.1,4.2,97037,0.4159,0.2
1502,55025001502,Census Tract 15.02,52.9,12.4,7.6,0,3.6,23.5,10.6,2.2,1.8,57713,0.4317,6.9
991702,55025991702,Census Tract 9917.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,55025001402,Census Tract 14.02,62.2,6.2,6.4,1.3,3.4,20.4,16.5,3.4,15.2,60862,0.4277,8.1
3002,55025003002,Census Tract 30.02,66.1,10.6,2.2,0,5.7,15.3,3.6,1.8,5,59339,0.3337,14.3
202,55025000202,Census Tract 2.02,70.9,5.6,12.1,0,4.3,7.2,6.9,6.5,7.2,88092,0.4074,3.8
12400,55025012400,Census Tract 124,94,0.4,1.7,0.2,2,1.8,0.6,0,1.3,93021,0.3822,1.6
100,55025000100,Census Tract 1,74.6,2,8.4,0,2.6,12.4,5.8,7.8,13.1,74054,0.4905,6.9
2301,55025002301,Census Tract 23.01,47.5,24.8,11.3,0,5.2,11.3,2.8,4.6,3.6,49524,0.4259,12.1
401,55025000401,Census Tract 4.01,88.6,0.6,6.3,0,2,2.5,2.7,10.1,14,100434,0.3292,0.9
402,55025000402,Census Tract 4.02,69.6,1.8,12.7,0,4,12,11.4,7.1,11.6,105850,0.3486,2.8
